#Timestamp	T0 - GPD IFplate (C)	T1 - GPD drift (C)	T2 - GPD mech (C)	T3 - Tank TC (C)	T4 - GTC TF Outlet (C)	T5 - AC TF Outlet (C)	T6 - Ambient (C)	T7 - Tank PT100 (C)	TJulaboInternal (C)	P0 - Setra AC (mbar)	P1 - Setra Filling (mbar)	P2 - Omega AC (mbar)	P3 - Omega GTC (mbar)	PressFullrange (mbar)	P4 - MKS AC (mbar)	P5 - MKS GPD (mbar)
2024-02-16 18:07:24.793	22.52	22.46	22.07	22.62	22.96	22.66	22.13	21.23	22.00	 903.61	   1.28	1186.09	  -1.70	1.500E-5	1195.45	   0.03
2024-02-16 18:07:25.795	22.51	22.50	22.07	22.72	22.92	22.72	22.14	21.20	22.00	 902.98	   1.28	1186.71	  -1.37	9.700E-6	1195.45	   0.04
2024-02-16 18:07:26.794	22.55	22.47	22.09	22.61	22.88	22.77	22.15	21.16	22.01	 902.89	   1.28	1187.61	  -1.98	9.600E-6	1195.45	   0.03
2024-02-16 18:07:27.794	22.57	22.45	22.12	22.59	22.88	22.75	22.12	21.19	22.01	 903.28	   1.28	1188.15	  -3.01	9.600E-6	1195.46	   0.02
2024-02-16 18:07:28.796	22.54	22.46	22.12	22.65	22.91	22.71	22.11	21.26	22.01	 903.14	   1.28	1188.61	  -3.01	9.600E-6	1195.47	   0.04
2024-02-16 18:07:29.795	22.51	22.44	22.09	22.55	22.90	22.70	22.15	21.21	22.01	 903.01	   1.28	1188.51	  -4.15	9.700E-6	1195.44	   0.05
2024-02-16 18:07:30.795	22.51	22.40	22.06	22.38	22.93	22.72	22.18	21.19	22.01	 902.87	   1.28	1187.53	  -4.31	9.700E-6	1195.43	   0.05
2024-02-16 18:07:31.797	22.54	22.43	22.08	22.34	22.96	22.72	22.11	21.22	22.00	 902.20	   1.28	1187.35	  -2.47	9.600E-6	1195.45	   0.04
2024-02-16 18:07:32.796	22.51	22.47	22.07	22.56	22.94	22.70	22.14	21.21	22.00	 902.28	   1.28	1187.35	  -2.72	9.700E-6	1195.47	   0.02
2024-02-16 18:07:33.796	22.49	22.47	22.05	22.66	22.92	22.70	22.16	21.22	22.00	 903.19	   1.28	1187.71	  -4.07	9.500E-6	1195.46	   0.03
2024-02-16 18:07:34.797	22.48	22.48	22.08	22.80	22.93	22.70	22.15	21.23	22.00	 902.79	   1.28	1188.07	  -3.78	9.600E-6	1195.44	   0.04
2024-02-16 18:07:35.796	22.51	22.49	22.09	22.46	22.92	22.71	22.13	21.22	22.00	 902.45	   1.28	1188.72	  -3.01	9.600E-6	1195.42	   0.05
2024-02-16 18:07:36.796	22.52	22.43	22.09	22.49	22.90	22.70	22.13	21.23	22.00	 903.23	   1.28	1188.83	  -2.11	9.500E-6	1195.44	   0.05
2024-02-16 18:07:37.797	22.51	22.44	22.08	22.39	22.90	22.69	22.13	21.28	22.00	 903.06	   1.28	1188.36	  -1.41	9.400E-6	1195.49	   0.05
2024-02-16 18:07:38.796	22.50	22.47	22.10	22.02	22.90	22.69	22.14	21.23	22.01	 902.95	   1.28	1188.94	  -2.39	9.600E-6	1195.47	   0.05
2024-02-16 18:07:39.796	22.49	22.42	22.09	22.65	22.92	22.71	22.17	21.19	22.01	 903.36	   1.28	1187.89	  -4.07	9.500E-6	1195.44	   0.05
2024-02-16 18:07:40.797	22.53	22.40	22.09	23.26	22.91	22.73	22.11	21.23	22.01	 903.54	   1.28	1186.60	  -3.21	9.500E-6	1195.45	   0.04
2024-02-16 18:07:41.797	22.54	22.43	22.10	22.78	22.89	22.67	22.09	21.24	22.02	 902.79	   1.28	1186.60	  -1.45	9.500E-6	1195.44	   0.02
2024-02-16 18:07:42.797	22.50	22.42	22.07	22.45	22.90	22.68	22.12	21.21	22.02	 902.82	   1.28	1186.45	  -1.66	9.500E-6	1195.44	   0.03
2024-02-16 18:07:43.798	22.48	22.42	22.08	22.67	22.91	22.70	22.13	21.20	22.02	 903.97	   1.28	1186.13	  -2.60	9.600E-6	1195.47	   0.03
2024-02-16 18:07:44.797	22.52	22.40	22.08	22.36	22.93	22.68	22.14	21.21	22.02	 903.71	   1.28	1186.96	  -2.84	9.600E-6	1195.48	   0.04
2024-02-16 18:07:45.797	22.52	22.43	22.06	22.28	22.92	22.66	22.12	21.23	22.02	 903.56	   1.28	1187.46	  -2.03	9.500E-6	1195.44	   0.03
2024-02-16 18:07:46.797	22.50	22.46	22.08	22.82	22.89	22.68	22.13	21.25	22.01	 903.68	   1.28	1187.53	  -2.07	9.600E-6	1195.42	   0.02
2024-02-16 18:07:47.797	22.51	22.45	22.09	22.54	22.92	22.70	22.15	21.24	22.01	 903.99	   1.28	1187.86	  -2.76	9.600E-6	1195.47	   0.02
2024-02-16 18:07:48.797	22.53	22.47	22.08	22.29	22.93	22.71	22.15	21.23	22.01	 903.83	   1.28	1187.57	  -2.92	9.500E-6	1195.45	   0.02
2024-02-16 18:07:49.798	22.54	22.47	22.12	22.34	22.90	22.75	22.16	21.27	22.01	 903.30	   1.28	1187.53	  -2.56	9.400E-6	1195.45	   0.04
2024-02-16 18:07:50.797	22.49	22.46	22.09	22.31	22.90	22.74	22.16	21.26	22.01	 902.79	   1.28	1187.43	  -1.09	9.300E-6	1195.47	   0.03
2024-02-16 18:07:51.797	22.48	22.47	22.09	22.47	22.89	22.69	22.16	21.23	22.01	 903.53	   1.28	1187.71	  -1.62	9.300E-6	1195.46	   0.02
2024-02-16 18:07:52.798	22.47	22.46	22.10	22.73	22.91	22.68	22.13	21.24	22.01	 904.11	   1.28	1187.93	  -2.84	9.400E-6	1195.44	   0.04
2024-02-16 18:07:53.797	22.49	22.45	22.10	22.67	22.89	22.67	22.15	21.21	22.01	 903.07	   1.28	1187.68	  -1.62	9.500E-6	1195.44	   0.04
2024-02-16 18:07:54.797	22.53	22.50	22.10	22.31	22.90	22.68	22.13	21.22	22.01	 902.78	   1.28	1187.17	  -1.98	9.800E-6	1195.45	   0.04
2024-02-16 18:07:55.798	22.53	22.50	22.08	22.33	22.92	22.70	22.12	21.24	22.01	 903.63	   1.28	1187.71	  -4.47	9.500E-6	1195.44	   0.03
2024-02-16 18:07:56.797	22.53	22.45	22.06	22.63	22.91	22.71	22.17	21.20	22.00	 903.50	   1.28	1188.11	  -5.05	9.300E-6	1195.44	   0.02
2024-02-16 18:07:57.797	22.51	22.45	22.06	22.67	22.93	22.71	22.16	21.23	22.00	 903.92	   1.28	1186.89	  -2.56	9.500E-6	1195.46	   0.01
2024-02-16 18:07:58.798	22.49	22.48	22.10	22.58	22.89	22.75	22.15	21.23	22.00	 904.67	   1.28	1187.14	  -1.62	9.400E-6	1195.44	   0.01
2024-02-16 18:07:59.797	22.50	22.46	22.13	22.65	22.88	22.72	22.19	21.22	22.00	 903.99	   1.28	1187.21	  -2.92	9.500E-6	1195.43	   0.01
2024-02-16 18:08:00.797	22.52	22.42	22.09	22.45	22.89	22.70	22.17	21.27	22.00	 903.19	   1.28	1188.18	  -3.01	9.500E-6	1195.49	   0.04
2024-02-16 18:08:01.798	22.54	22.46	22.10	22.62	22.92	22.72	22.15	21.24	22.00	 903.38	   1.28	1188.97	  -3.78	9.500E-6	1195.51	   0.04
2024-02-16 18:08:02.797	22.53	22.50	22.15	22.84	22.90	22.75	22.15	21.20	22.00	 903.38	   1.28	1189.12	  -4.64	9.500E-6	1195.46	   0.02
2024-02-16 18:08:03.797	22.51	22.47	22.11	22.67	22.91	22.73	22.11	21.22	22.00	 902.79	   1.28	1188.47	  -2.19	9.400E-6	1195.48	   0.02
2024-02-16 18:08:04.799	22.54	22.45	22.12	22.51	22.92	22.70	22.12	21.21	22.00	 903.00	   1.28	1187.71	  -1.66	9.500E-6	1195.50	   0.02
2024-02-16 18:08:05.798	22.54	22.50	22.13	22.48	22.88	22.69	22.12	21.18	22.00	 902.97	   1.28	1187.61	  -2.80	9.500E-6	1195.47	   0.01
2024-02-16 18:08:06.798	22.54	22.50	22.08	22.30	22.90	22.70	22.12	21.22	22.00	 902.99	   1.28	1188.29	  -2.31	9.700E-6	1195.45	   0.02
2024-02-16 18:08:07.799	22.55	22.45	22.09	22.38	22.92	22.69	22.11	21.26	22.00	 903.38	   1.28	1188.94	  -1.45	9.700E-6	1195.46	   0.03
2024-02-16 18:08:08.798	22.50	22.44	22.09	22.79	22.91	22.69	22.14	21.24	22.00	 903.87	   1.28	1189.30	  -3.05	9.600E-6	1195.47	   0.03
2024-02-16 18:08:09.798	22.49	22.46	22.07	22.32	22.94	22.73	22.15	21.24	22.00	 903.92	   1.28	1188.83	  -4.23	9.600E-6	1195.46	   0.01
2024-02-16 18:08:10.800	22.49	22.46	22.09	21.73	22.93	22.69	22.12	21.25	22.01	 903.70	   1.28	1187.93	  -3.45	9.600E-6	1195.44	   0.02
2024-02-16 18:08:11.799	22.48	22.48	22.09	22.07	22.91	22.68	22.12	21.27	22.01	 903.39	   1.28	1187.93	  -1.82	9.600E-6	1195.44	   0.05
2024-02-16 18:08:12.799	22.50	22.47	22.11	22.48	22.90	22.69	22.13	21.23	22.01	 903.48	   1.28	1188.22	  -2.56	9.700E-6	1195.46	   0.04
2024-02-16 18:08:13.800	22.52	22.45	22.09	22.71	22.92	22.71	22.15	21.21	22.01	 904.02	   1.28	1187.07	  -4.03	9.500E-6	1195.47	   0.03
2024-02-16 18:08:14.799	22.49	22.46	22.10	22.81	22.91	22.69	22.16	21.23	22.01	 903.75	   1.28	1187.43	  -3.54	9.300E-6	1195.44	   0.02
2024-02-16 18:08:15.799	22.47	22.47	22.11	22.93	22.89	22.68	22.16	21.21	22.01	 903.09	   1.28	1188.47	  -3.01	9.300E-6	1195.45	   0.02
2024-02-16 18:08:16.800	22.48	22.47	22.10	22.79	22.93	22.70	22.14	21.20	22.01	 903.45	   1.28	1187.79	  -2.35	9.400E-6	1195.46	   0.02
