#Timestamp	T0 - GPD IFplate (C)	T1 - GPD drift (C)	T2 - GPD mech (C)	T3 - Tank TC (C)	T4 - GTC TF Outlet (C)	T5 - AC TF Outlet (C)	T6 - Ambient (C)	T7 - Tank PT100 (C)	TJulaboInternal (C)	P0 - Setra AC (mbar)	P1 - Setra Filling (mbar)	P2 - Omega AC (mbar)	P3 - Omega GTC (mbar)	PressFullrange (mbar)	P4 - MKS AC (mbar)	P5 - MKS GPD (mbar)
2024-02-07 16:34:10.802	21.43	21.42	20.96	20.48	22.22	21.78	22.11	20.48	20.56	-190	-187	  -5	 999	3.200E-7	   2	1015
2024-02-07 16:34:11.802	21.46	21.41	21.01	20.50	22.19	21.78	22.12	20.51	20.56	-190	-186	  -5	1000	1.600E-4	   2	1015
2024-02-07 16:34:12.802	21.41	21.41	21.02	20.37	22.19	21.77	22.13	20.50	20.56	-190	-185	  -6	1000	1.700E-4	   2	1015
2024-02-07 16:34:13.803	21.41	21.41	21.01	20.54	22.18	21.79	22.15	20.49	20.56	-190	-185	  -5	1000	1.600E-4	   2	1015
2024-02-07 16:34:14.803	21.46	21.37	20.99	20.80	22.19	21.79	22.11	20.51	20.56	-190	-186	  -4	 999	1.700E-4	   2	1015
2024-02-07 16:34:15.805	21.44	21.37	21.02	20.55	22.22	21.83	22.10	20.50	20.56	-190	-186	  -5	 999	1.600E-4	   2	1015
2024-02-07 16:34:16.804	21.39	21.39	21.02	20.77	22.25	21.85	22.14	20.54	20.56	-190	-186	  -4	 999	1.600E-4	   2	1015
2024-02-07 16:34:17.805	21.45	21.41	20.98	20.85	22.25	21.80	22.13	20.52	20.56	-190	-186	  -4	 999	1.800E-4	   2	1015
2024-02-07 16:34:18.805	21.45	21.41	21.00	19.94	22.18	21.78	22.11	20.50	20.56	-190	-186	  -5	1000	1.800E-4	   2	1015
